"Record ID","Survey Identifier","Survey Timestamp","Please indicate your affiliation with the dental school:","What year are you in dental school?","What is your age?","What is the highest level of education you have achieved prior to dental school?","Do you have a military background?","Do you have any family members who are dentists?","Roughly how many schools did you apply to for dental school?","Roughly how many schools were you accepted to attend?","Did you ever reapply to VCU?","Roughly, what was your undergraduate GPA?","Roughly, what was your graduate/professional GPA?","Roughly, what was your DAT score?","What are your plans following graduation?","Which residency are you most interested in:","Please describe your plans following graduation:","What is your gender?","What is your ethnic/racial background?","What department are you primarily affiliated with?","How many years have you been on  Admissions Committee?","What is your age?","Am the life of the party","Feel little concern for others.","Am always prepared.","Get stressed out easily.","Have a rich vocabulary.","Don't talk a lot.","Am interested in people.","Leave my belongings around.","Am relaxed most of the time.","Have difficulty understanding abstract ideas.","Feel comfortable around people.","Insult people.","Pay attention to details.","Worry about things.","Have a vivid imagination.","Keep in the background.","Sympathize with others' feelings.","Make a mess of things.","Seldom feel blue.","Am not interested in abstract ideas.","Start conversations.","Am not interested in other people's problems.","Get chores done right away.","Am easily disturbed.","Have excellent ideas.","Have little to say.","Have a soft heart.","Often forget to put things back in their proper place.","Get upset easily.","Do not have a good imagination.","Talk to a lot of different people at parties.","Am not really interested in others.","Like order.","Change my mood a lot.","Am quick to understand things.","Don't like to draw attention to myself.","Take time out for others.","Shirk my duties.","Have frequent mood swings.","Use difficult words.","Don't mind being the center of attention.","Feel others' emotions.","Follow a schedule.","Get irritated easily.","Spend time reflecting on things.","Am quiet around strangers.","Make people feel at ease.","Am exacting in my work.","Often feel blue.","Am full of ideas.","Extraversion Score:","Agreeableness Score:","Conscientiousness Score","Emotional Stability Score","Intellect/Imagination Score","Complete?"
1,,2018-08-08 16:11:55,,,,,,,,,,,,,,,,Female,White/Caucasian,,,,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Very Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,1,Moderately Accurate,Very Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,40,43,43,14,44,2
2,,2018-08-08 16:16:27,Dental Student,D2 (Class of 2021),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,13,2,No,3.56,,22,Residency,Orthodontics,,Male,Asian American/Pacific Islander,,,,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,2,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,34,43,38,42,20,2
3,,2018-08-08 16:15:41,Dental Student,D4 (Class of 2019),20-25,"Bachelor's degree (e.g. BA, BS)",No,Yes,7,2,No,3.8,3.8,18,Residency,Pediatric Dentistry,,Female,Hispanic,,,,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,1,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Very Accurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Accurate,44,41,41,47,42,2
4,,2018-08-08 16:13:35,Dental Student,D4 (Class of 2019),26-30,"Bachelor's degree (e.g. BA, BS)",No,No,14,3,No,3.77,,20,Private practice,,,Male,White/Caucasian,,,,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,2,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,28,41,34,34,31,2
5,,2018-08-08 16:14:14,Dental Student,D4 (Class of 2019),31-35,"Bachelor's degree (e.g. BA, BS)",No,No,6,6,No,3.1,3.9,22,Residency,Oral and Maxillofacial Surgery,,Male,Black/African American,,,,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,3,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,47,38,38,38,47,2
6,,[not completed],Dental Student,D4 (Class of 2019),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,1,1,No,3.8,3,18,Residency,Endodontics,,Male,Asian American/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,2018-08-08 16:14:33,Dental Student,D2 (Class of 2021),20-25,"Master's degree (e.g. MA, MS, MEd)",No,No,5,1,Yes,3.3,3.3,21,Private practice,,,Female,Asian American/Pacific Islander,,,,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,2,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,42,43,35,36,39,2
8,,2018-08-08 16:16:27,Dental Student,D2 (Class of 2021),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,1,1,No,3.7,3.3,"23, 27",Private practice,,,Male,Asian American/Pacific Islander,,,,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,4,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,28,23,41,22,33,2
9,,[not completed],Dental Student,D2 (Class of 2021),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,6,2,No,3.65,,21,Private practice,,,Female,White/Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,,2018-08-08 16:20:07,Dental Student,D3 (Class of 2020),20-25,"Bachelor's degree (e.g. BA, BS)",No,Yes,13,6,No,3.47,,24,Private practice,,,Female,White/Caucasian,,,,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,2,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,33,40,44,26,34,2
